id,ticker,financialGroup,displayName,createdAt,updatedAt
321,KLNMA,UFRS_K,Konsolide UFRS,2025-10-19 20:09:25.585,2025-10-19 22:31:50.88
322,KLRHO,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:09:27.071,2025-10-19 22:31:52.353
323,KLSER,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:09:28.431,2025-10-19 22:31:53.662
324,KLSYN,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:09:29.883,2025-10-19 22:31:55.326
325,KLYPV,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:09:31.333,2025-10-19 22:31:56.739
326,KMPUR,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:09:32.886,2025-10-19 22:31:58.164
327,KNFRT,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:09:34.379,2025-10-19 22:31:59.283
328,KOCMT,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:09:36.094,2025-10-19 22:32:00.708
329,KONKA,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:09:37.531,2025-10-19 22:32:02.183
330,KONTR,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:09:39.05,2025-10-19 22:32:03.534
331,KONYA,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:09:40.635,2025-10-19 22:32:05.066
332,KOPOL,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:09:42.146,2025-10-19 22:32:06.427
333,KORDS,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:09:43.824,2025-10-19 22:32:07.78
334,KOTON,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:09:45.349,2025-10-19 22:32:09.163
335,KOZAA,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:09:46.937,2025-10-19 22:32:10.563
336,KOZAL,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:09:48.233,2025-10-19 22:32:12.024
337,KRDMA,XI_29,Seri XI No:29 Konsolide Olmayan,2025-10-19 20:09:49.681,2025-10-19 22:32:13.448
